19	112
32	32
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	3	4	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1	2	4	3	6	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	6	0	8	0	8	9	9	8	0	8	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	11	12	13	12	14	14	12	15	10	10	10	10	10	10	10	10	10	10	11	13	14	16	17	18	10	10	10	10	10	10	19	19	10	19	10	10	19	18	19	18	10	10	10	10	19	19	10	10	10	10	10	10	20	21	10	10	10	10	22	0	17	0	23	24	23	25	0	23	26	23	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	27	13	14	13	14	12	13	0	22	10	10	19	28	10	10	10	10	10	27	14	14	29	13	30	10	10	10	10	10	10	30	30	10	30	10	10	30	30	30	30	10	10	10	10	30	30	10	10	10	10	10	10	31	32	22	10	10	15	0	0	13	0	23	26	23	26	24	23	0	23	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	15	14	13	14	14	13	14	0	0	33	10	30	34	33	10	10	15	22	15	35	17	36	17	17	37	37	17	37	17	17	17	17	37	37	37	17	37	17	17	17	37	37	37	17	17	17	28	17	28	17	28	37	17	17	17	37	17	17	17	17	36	36	38	0	23	26	26	23	26	23	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	28	17	39	17	17	17	17	17	17	17	17	17	37	28	37	37	17	28	17	37	17	17	13	12	36	13	40	41	27	41	27	42	13	12	40	41	27	41	27	42	12	13	40	41	27	41	27	42	13	13	40	41	27	41	27	42	13	12	40	42	13	12	13	36	0	23	43	23	25	25	23	0	23	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	27	42	13	44	13	17	12	12	12	12	40	42	40	41	27	41	27	41	27	12	13	12	14	13	36	12	15	22	15	45	45	45	14	13	15	46	46	46	46	15	14	14	46	46	46	46	46	46	14	12	45	46	46	46	22	15	12	13	45	45	13	17	12	36	0	38	47	38	47	47	38	47	38	
6	3	5	5	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	5	4	5	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	48	3	3	4	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36	14	14	12	14	10	10	10	49	49	10	10	10	10	28	10	10	10	10	10	22	49	49	36	14	17	12	10	10	10	10	50	10	10	28	10	10	10	10	10	10	11	13	44	12	13	12	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36	14	14	13	14	10	10	28	41	27	28	10	10	10	51	49	49	49	49	15	0	12	14	16	12	13	13	18	10	10	19	52	10	10	52	18	10	10	10	10	19	27	13	51	17	17	13	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36	14	12	51	36	10	27	37	46	10	14	28	28	49	50	35	14	17	44	13	12	14	35	29	13	14	14	30	46	10	30	13	10	33	13	30	33	33	33	33	30	46	51	14	13	14	14	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36	14	51	14	14	15	15	12	13	13	14	14	51	17	13	28	14	41	27	44	14	35	13	36	17	37	17	37	17	17	37	17	17	37	17	37	37	17	17	17	37	37	37	17	17	17	17	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36	36	39	12	12	37	17	17	17	37	28	17	14	46	17	35	35	46	28	17	17	14	14	36	14	12	14	12	13	41	27	13	41	27	12	41	27	12	41	27	41	27	12	13	12	14	14	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	53	48	5	4	5	54	55	53	53	53	53	5	5	53	5	53	53	5	53	5	53	56	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36	13	14	44	14	14	34	52	13	41	27	13	12	41	27	50	13	41	27	12	41	27	28	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36	14	14	14	44	12	34	13	12	45	22	12	13	18	15	52	14	18	19	13	45	22	13	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36	12	14	17	17	17	34	28	13	28	15	13	12	30	0	13	14	30	30	12	45	0	14	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36	17	14	12	14	13	34	13	12	17	13	14	14	17	13	12	14	13	13	13	13	14	14	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36	14	17	17	35	35	57	35	35	35	35	35	35	35	35	35	35	35	35	35	35	36	36	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
