25	64
32	32
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	0	2	0	0	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	0	6	7	6	0	8	9	9	10	11	10	12	10	12	10	12	10	12	10	12	10	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	6	14	7	14	6	8	13	13	15	8	15	8	15	8	15	8	15	8	15	8	15	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	14	14	0	14	14	8	13	13	17	8	17	8	17	8	17	8	17	8	17	8	17	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	19	19	20	19	19	21	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	23	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9	9	9	9	9	9	9	9	10	12	10	12	10	12	10	12	10	12	10	12	24	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	4	4	4	4	4	4	4	25	0	3	0	3	0	3	0	3	0	3	0	25	26	25	1	1	3	27	3	25	3	27	3	28	25	25	29	25	3	27	3	25	3	25	3	25	3	27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	10	12	10	12	10	12	10	30	1	21	1	21	1	21	1	21	1	21	1	31	30	32	5	5	8	13	8	33	8	13	8	34	13	13	13	33	8	34	8	13	8	13	21	33	8	35	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	36	8	36	8	36	8	1	13	10	12	10	12	10	12	10	12	10	12	10	8	13	13	34	16	8	32	21	32	21	32	21	13	13	33	32	13	8	35	21	32	21	33	8	32	21	30	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	36	8	36	8	37	22	13	35	0	8	0	8	0	8	0	8	36	8	36	8	13	30	32	18	21	34	12	10	12	10	12	13	13	13	12	35	11	10	12	10	8	30	11	10	12	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	19	21	19	5	30	32	32	30	1	21	1	21	1	21	1	8	36	8	36	8	5	5	5	5	11	33	8	13	8	13	21	30	33	32	21	38	21	30	21	32	21	32	21	32	21	32	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	9	9	9	9	9	9	9	9	9	9	9	9	9	9	5	21	19	21	19	21	5	5	5	5	8	24	39	34	39	10	12	10	0	10	12	0	12	10	12	10	12	10	12	10	12	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	26	3	25	3	25	3	25	3	25	25	25	3	27	3	25	3	25	3	25	3	25	3	40	27	29	3	25	29	27	25	3	25	27	3	25	25	27	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	41	13	8	13	8	35	8	13	21	13	13	33	8	13	8	13	8	13	8	13	8	13	8	16	34	13	8	35	33	13	13	8	33	13	8	35	33	13	5	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	21	32	21	32	21	30	21	32	8	32	30	30	21	32	21	32	21	30	21	30	21	32	21	18	13	33	21	30	13	32	32	21	34	13	21	30	32	13	5	
